Hotel Name,Description Heading,Description,Price,Image URL,Location,Rating,Review Count
The Hotel @ Fifth Avenue,Description heading not available,Description not available,CA $437,https://images.trvl-media.com/lodging/1000000/30000/28300/28291/dab6f2e3.jpg?impolicy=resizecrop&rw=455&ra=fit,New York,7.8 out of 10,(1,160 reviews),(1,160 reviews)
The Lucerne Hotel,Description heading not available,Description not available,CA $634,https://images.trvl-media.com/lodging/1000000/50000/41300/41203/ba1ec6ba.jpg?impolicy=resizecrop&rw=455&ra=fit,Upper West Side,9.4 out of 10,(1,546 reviews),(1,546 reviews)
Night Hotel Broadway,Description heading not available,Description not available,CA $314,https://images.trvl-media.com/lodging/1000000/130000/129400/129325/2d3b9a02.jpg?impolicy=resizecrop&rw=455&ra=fit,Upper West Side,6.4 out of 10,(1,532 reviews),(1,532 reviews)
Park Terrace Hotel,Description heading not available,Description not available,CA $667,https://images.trvl-media.com/lodging/17000000/16900000/16890100/16890002/0eef15dc.jpg?impolicy=resizecrop&rw=455&ra=fit,Central New York City,9.4 out of 10,(1,336 reviews),(1,336 reviews)
Pod 39,Description heading not available,Description not available,CA $453,https://images.trvl-media.com/lodging/6000000/5330000/5321600/5321579/4bcea295.jpg?impolicy=resizecrop&rw=455&ra=fit,New York,8.6 out of 10,(1,470 reviews),(1,470 reviews)
INNSiDE by Meliá New York Nomad,Description heading not available,Description not available,CA $583,https://images.trvl-media.com/lodging/13000000/12630000/12628000/12627948/d5cc792e.jpg?impolicy=resizecrop&rw=455&ra=fit,Chelsea,9.0 out of 10,(1,992 reviews),(1,992 reviews)
Tempo by Hilton New York Times Square,Description heading not available,Description not available,CA $794,https://images.trvl-media.com/lodging/1000000/20000/17500/17497/82bdfc2c.jpg?impolicy=resizecrop&rw=455&ra=fit,Theater District,9.4 out of 10,(2,385 reviews),(2,385 reviews)
Loews Regency New York Hotel,Description heading not available,Description not available,CA $1,142,https://images.trvl-media.com/lodging/1000000/30000/25600/25559/76264936.jpg?impolicy=resizecrop&rw=455&ra=fit,New York,9.0 out of 10,(1,005 reviews),(1,005 reviews)
Pendry Manhattan West,Description heading not available,Description not available,CA $1,688,https://images.trvl-media.com/lodging/69000000/68280000/68272700/68272643/6ecefed3.jpg?impolicy=resizecrop&rw=455&ra=fit,Chelsea,9.8 out of 10,(299 reviews),(299 reviews)
Margaritaville Resort Times Square,Description heading not available,Description not available,CA $589,https://images.trvl-media.com/lodging/67000000/66530000/66525900/66525849/90996b2c.jpg?impolicy=resizecrop&rw=455&ra=fit,Theater District,9.2 out of 10,(3,515 reviews),(3,515 reviews)
Four Seasons Hotel New York Downtown,Description heading not available,Description not available,CA $1,690,https://images.trvl-media.com/lodging/16000000/15440000/15438500/15438428/90af3b15.jpg?impolicy=resizecrop&rw=455&ra=fit,New York,9.6 out of 10,(345 reviews),(345 reviews)
Arthouse Hotel New York City,Description heading not available,Description not available,CA $496,https://images.trvl-media.com/lodging/1000000/20000/12200/12117/8ec51135.jpg?impolicy=resizecrop&rw=455&ra=fit,Upper West Side,8.6 out of 10,(1,303 reviews),(1,303 reviews)
The Mark,Description heading not available,Description not available,CA $1,856,https://images.trvl-media.com/lodging/1000000/20000/19800/19712/e83edbca.jpg?impolicy=resizecrop&rw=455&ra=fit,New York,9.6 out of 10,(628 reviews),(628 reviews)
Hilton Garden Inn New York/West 35th Street,Description heading not available,Description not available,CA $657,https://images.trvl-media.com/lodging/3000000/2370000/2366900/2366813/82afe64b.jpg?impolicy=resizecrop&rw=455&ra=fit,New York,9.0 out of 10,(1,998 reviews),(1,998 reviews)
EVEN Hotel New York - Midtown East, an IHG Hotel,Description heading not available,Description not available,CA $578,https://images.trvl-media.com/lodging/15000000/14680000/14677200/14677195/ef8fa388.jpg?impolicy=resizecrop&rw=455&ra=fit,New York,8.8 out of 10,(1,179 reviews),(1,179 reviews)
The Lombardy Hotel,Description heading not available,Description not available,CA $975,https://images.trvl-media.com/lodging/1000000/10000/7000/6946/c3baf81c.jpg?impolicy=resizecrop&rw=455&ra=fit,New York,9.0 out of 10,(1,004 reviews),(1,004 reviews)
The Renwick,Description heading not available,Description not available,CA $753,https://images.trvl-media.com/lodging/1000000/20000/12100/12092/98d2509b.jpg?impolicy=resizecrop&rw=455&ra=fit,New York,8.8 out of 10,(1,018 reviews),(1,018 reviews)
Empire Hotel,Description heading not available,Description not available,CA $573,https://images.trvl-media.com/lodging/1000000/10000/3700/3670/a468d78b.jpg?impolicy=resizecrop&rw=455&ra=fit,New York,7.6 out of 10,(3,499 reviews),(3,499 reviews)
Club Quarters Hotel, Grand Central,Description heading not available,Description not available,CA $591,https://images.trvl-media.com/lodging/6000000/5960000/5950500/5950418/e4c21628.jpg?impolicy=resizecrop&rw=455&ra=fit,New York,8.6 out of 10,(1,937 reviews),(1,937 reviews)
Trump International Hotel & Tower New York,Description heading not available,Description not available,CA $1,563,https://images.trvl-media.com/lodging/1000000/50000/40400/40338/e6f42365.jpg?impolicy=resizecrop&rw=455&ra=fit,New York,9.4 out of 10,(1,004 reviews),(1,004 reviews)
EVEN Hotel New York - Midtown East, an IHG Hotel,Description heading not available,Description not available,CA $578,https://images.trvl-media.com/lodging/15000000/14680000/14677200/14677195/ef8fa388.jpg?impolicy=resizecrop&rw=455&ra=fit,New York,8.8 out of 10,(1,179 reviews),(1,179 reviews)
The Sherry Netherland,Description heading not available,Description not available,CA $2,038,https://images.trvl-media.com/lodging/1000000/20000/18700/18608/cc5e4db6.jpg?impolicy=resizecrop&rw=455&ra=fit,New York,9.6 out of 10,(556 reviews),(556 reviews)
